Name,Price,Picture link
Classic Fit Oxford Shirt,"€ 109,00",https://www.ralphlauren.eu/pt/en/classic-fit-oxford-shirt-487139.html?cgid=men-big-tall&webcat=MEN%2FClothing%2FBig%20%20%20Tall&dwvar487139_colorname=Blue
Classic Fit Striped Shirt,"€ 109,00",https://www.ralphlauren.eu/pt/en/classic-fit-striped-shirt-492020.html?cgid=men-big-tall&dwvar492020_colorname=4156%20White%2FSky%20Blue&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Classic Fit Crewneck T-Shirt,"€ 65,00 - € 69,00",https://www.ralphlauren.eu/pt/en/classic-fit-crewneck-t-shirt-509034.html?cgid=men-big-tall&dwvar509034_colorname=Cabana%20Blue&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Gingham Cotton Oxford Shirt,"€ 109,00",https://www.ralphlauren.eu/pt/en/gingham-cotton-oxford-shirt-331524.html?cgid=men-big-tall&dwvar331524_colorname=Blue%2FWhite%20Gingham&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Classic Fit Oxford Shirt,"€ 109,00",https://www.ralphlauren.eu/pt/en/classic-fit-oxford-shirt-68633.html?dwvar68633_colorname=4070a%20Thistle&cgid=men-big-tall&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Print Mesh Shirt,"€ 129,00",https://www.ralphlauren.eu/pt/en/print-mesh-shirt-509381.html?cgid=men-big-tall&dwvar509381_colorname=Coconut%20Grove%20Floral%20Navy&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Traveller Tropical Swim Trunk,"€ 99,00",https://www.ralphlauren.eu/pt/en/traveller-tropical-swim-trunk-509006.html?cgid=men-big-tall&webcat=MEN%2FClothing%2FBig%20%20%20Tall&dwvar509006_colorname=Flying%20Fish
Classic Fit Interlock Polo,"€ 119,00",https://www.ralphlauren.eu/pt/en/classic-fit-interlock-polo-491999A1.html?cgid=men-big-tall&dwvar491999A1_colorname=College%20Green%20Multi&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Classic Fit Plaid Oxford Shirt,"€ 129,00",https://www.ralphlauren.eu/pt/en/classic-fit-plaid-oxford-shirt-483631.html?cgid=men-big-tall&dwvar483631_colorname=4046%20Red%20Multi&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Preppy Bear Fleece Sweatshirt,"€ 179,00",https://www.ralphlauren.eu/pt/en/preppy-bear-fleece-sweatshirt-492041a1.html?cgid=men-big-tall&dwvar492041a1_colorname=Cruise%20Navy&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Classic Fit Mesh Polo Shirt,"€ 149,00",https://www.ralphlauren.eu/pt/en/classic-fit-mesh-polo-shirt-509383.html?cgid=men-big-tall&webcat=MEN%2FClothing%2FBig%20%20%20Tall&dwvar509383_colorname=Cruise%20Navy%20Multi
Hampton Relaxed Straight Jean,"€ 139,00",https://www.ralphlauren.eu/pt/en/hampton-relaxed-straight-jean-462059.html?cgid=men-big-tall&dwvar462059_colorname=Medium%20Indigo&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Colour-Blocked Logo Hoodie,"€ 149,00",https://www.ralphlauren.eu/pt/en/colour-blocked-logo-hoodie-509045.html?dwvar509045_colorname=Aviator%20Navy%20Multi&cgid=men-big-tall&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Classic Fit Paisley Shirt,"€ 119,00",https://www.ralphlauren.eu/pt/en/classic-fit-paisley-shirt-492025.html?dwvar492025_colorname=4180%20Inky%20Paisley&cgid=men-big-tall&webcat=MEN%2FClothing%2FBig%20%20%20Tall
The Iconic Rugby Shirt,"€ 155,00",https://www.ralphlauren.eu/pt/en/the-iconic-rugby-shirt-492005.html?cgid=men-big-tall&webcat=MEN%2FClothing%2FBig%20%20%20Tall&dwvar492005_colorname=French%20Navy%2FClassic%20Wine
Classic Fit Mesh Polo Shirt,"€ 129,00",https://www.ralphlauren.eu/pt/en/classic-fit-mesh-polo-shirt-509365.html?cgid=men-big-tall&dwvar509365_colorname=Cruise%20Navy%20Multi&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Classic Fit Plaid Twill Shirt,"€ 139,00",https://www.ralphlauren.eu/pt/en/classic-fit-plaid-twill-shirt-492030.html?dwvar492030_colorname=3434a%20Royal%2F%20Black&cgid=men-big-tall&webcat=MEN%2FClothing%2FBig%20%20%20Tall
The Iconic Flag Jumper,"€ 269,00",https://www.ralphlauren.eu/pt/en/the-iconic-flag-jumper-447002.html?cgid=men-big-tall&dwvar447002_colorname=Navy&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Featherweight Mesh Shirt,"€ 119,00",https://www.ralphlauren.eu/pt/en/featherweight-mesh-shirt-467858.html?cgid=men-big-tall&dwvar467858_colorname=White&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Classic Fit Plaid Twill Shirt,"€ 139,00",https://www.ralphlauren.eu/pt/en/classic-fit-plaid-twill-shirt-492038.html?cgid=men-big-tall&dwvar492038_colorname=3434c%20Emerald%2FBlack&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Stretch Classic Fit Chino,"€ 149,00",https://www.ralphlauren.eu/pt/en/stretch-classic-fit-chino-503911.html?cgid=men-big-tall&dwvar503911_colorname=Classic%20Wine&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Classic Fit Cotton T-Shirt,"€ 65,00",https://www.ralphlauren.eu/pt/en/classic-fit-cotton-t-shirt-413729.html?cgid=men-big-tall&dwvar413729_colorname=Ink&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Estate Rib Half-Zip Pullover,"€ 139,00",https://www.ralphlauren.eu/pt/en/estate-rib-half-zip-pullover-492000.html?cgid=men-big-tall&dwvar492000_colorname=Scotch%20Pine%20Heather&webcat=MEN%2FClothing%2FBig%20%20%20Tall
The Iconic Quilted Gilet,"€ 269,00",https://www.ralphlauren.eu/pt/en/the-iconic-quilted-gilet-492012.html?cgid=men-big-tall&webcat=MEN%2FClothing%2FBig%20%20%20Tall&dwvar492012_colorname=College%20Navy
Water-Resistant Commuter Coat,"€ 599,00",https://www.ralphlauren.eu/pt/en/water-resistant-commuter-coat-492014.html?cgid=men-big-tall&dwvar492014_colorname=Polo%20Black&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Classic Fit Long-Sleeve Polo,"€ 109,00",https://www.ralphlauren.eu/pt/en/classic-fit-long-sleeve-polo-492001.html?cgid=men-big-tall&dwvar492001_colorname=Black%20Marl%20Heather&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Classic Fit Interlock Polo,"€ 119,00",https://www.ralphlauren.eu/pt/en/classic-fit-interlock-polo-509373.html?cgid=men-big-tall&webcat=MEN%2FClothing%2FBig%20%20%20Tall&dwvar509373_colorname=Coconut%20Grove%20Floral%20Roya
Striped Cotton Oxford Shirt,"€ 119,00",https://www.ralphlauren.eu/pt/en/striped-cotton-oxford-shirt-331523.html?dwvar331523_colorname=Blue%2FWhite%20Stripe&cgid=men-big-tall&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Classic Fit Floral Shirt,"€ 119,00",https://www.ralphlauren.eu/pt/en/classic-fit-floral-shirt-504670.html?cgid=men-big-tall&dwvar504670_colorname=4182%20Blue%20Bud&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Classic Fit Mesh Polo Shirt,"€ 99,00",https://www.ralphlauren.eu/pt/en/classic-fit-mesh-polo-shirt-509366.html?dwvar509366_colorname=Fortress%20Grey%20Heather%2FC17&cgid=men-big-tall&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Hampton Relaxed Straight Jean,"€ 139,00",https://www.ralphlauren.eu/pt/en/hampton-relaxed-straight-jean-462058.html?cgid=men-big-tall&webcat=MEN%2FClothing%2FBig%20%20%20Tall&dwvar462058_colorname=Light%20Indigo
Classic Fit Crewneck Tee,"€ 69,00",https://www.ralphlauren.eu/pt/en/classic-fit-crewneck-tee-483622.html?cgid=men-big-tall&dwvar483622_colorname=Classic%20Wine&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Classic Fit Pocket Tee,"€ 65,00",https://www.ralphlauren.eu/pt/en/classic-fit-pocket-tee-509384.html?cgid=men-big-tall&dwvar509384_colorname=Dockside%20Blue%20Heather%2FC38&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Classic Fit Oxford Shirt,"€ 119,00",https://www.ralphlauren.eu/pt/en/classic-fit-oxford-shirt-446979.html?cgid=men-big-tall&dwvar446979_colorname=RL%20Navy&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Bear Cotton Hooded Jumper,"€ 299,00",https://www.ralphlauren.eu/pt/en/bear-cotton-hooded-jumper-492016.html?dwvar492016_colorname=Navy%2FWine%2FForest%2FGold&cgid=men-big-tall&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Classic Fit Cotton Rugby Shirt,"€ 199,00",https://www.ralphlauren.eu/pt/en/classic-fit-cotton-rugby-shirt-492034.html?cgid=men-big-tall&dwvar492034_colorname=Cruise%20Navy&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Classic Fit Poplin Shirt,"€ 109,00",https://www.ralphlauren.eu/pt/en/classic-fit-poplin-shirt-442404.html?cgid=men-big-tall&dwvar442404_colorname=Blue%2FWhite%20Check&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Classic Fit Camo Cargo Trouser,"€ 149,00",https://www.ralphlauren.eu/pt/en/classic-fit-camo-cargo-trouser-492049.html?cgid=men-big-tall&dwvar492049_colorname=Surplus%20Camo&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Classic Fit Interlock T-Shirt,"€ 75,00",https://www.ralphlauren.eu/pt/en/classic-fit-interlock-t-shirt-517376.html?cgid=men-big-tall&dwvar517376_colorname=Rosette%20Heather&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Cotton Crewneck Jumper,"€ 129,00",https://www.ralphlauren.eu/pt/en/cotton-crewneck-jumper-468928.html?cgid=men-big-tall&webcat=MEN%2FClothing%2FBig%20%20%20Tall&dwvar468928_colorname=Hunter%20Navy
Classic Fit Linen Shirt,"€ 149,00",https://www.ralphlauren.eu/pt/en/classic-fit-linen-shirt-516464.html?cgid=men-big-tall&dwvar516464_colorname=Summer%20Royal&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Classic Fit Plaid Poplin Shirt,"€ 109,00",https://www.ralphlauren.eu/pt/en/classic-fit-plaid-poplin-shirt-504671.html?cgid=men-big-tall&dwvar504671_colorname=4159%20Refelx%20Blue%2FWhite&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Hampton Relaxed Straight Jean,"€ 139,00",https://www.ralphlauren.eu/pt/en/hampton-relaxed-straight-jean-461550.html?dwvar461550_colorname=Black&cgid=men-big-tall&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Classic Fit Seersucker Shirt,"€ 109,00",https://www.ralphlauren.eu/pt/en/classic-fit-seersucker-shirt-522973.html?cgid=men-big-tall&dwvar522973_colorname=4579b%20Light%20Blue%2FWhite&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Estate Rib Half-Zip Pullover,"€ 139,00",https://www.ralphlauren.eu/pt/en/estate-rib-half-zip-pullover-492000A1.html?cgid=men-big-tall&webcat=MEN%2FClothing%2FBig%20%20%20Tall&dwvar492000A1_colorname=Aged%20Wine%20Heather
Cotton Crewneck Jumper,"€ 149,00",https://www.ralphlauren.eu/pt/en/cotton-crewneck-jumper-509361.html?cgid=men-big-tall&dwvar509361_colorname=Camel%20Melange&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Classic Fit Bear Mesh Rugby,"€ 149,00",https://www.ralphlauren.eu/pt/en/classic-fit-bear-mesh-rugby-492033.html?cgid=men-big-tall&dwvar492033_colorname=Classic%20Wine%20Multi&webcat=MEN%2FClothing%2FBig%20%20%20Tall
