Name,Price,Picture link
Polo Bear Camo Sweatshirt,"€ 199,00",https://www.ralphlauren.eu/pt/en/polo-bear-camo-sweatshirt-499784.html?dwvar499784_colorname=Camo&cgid=men-clothing-hoodies-sweatshirts&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Double-Knit Full-Zip Hoodie,"€ 139,00",https://www.ralphlauren.eu/pt/en/double-knit-full-zip-hoodie-481742.html?cgid=men-clothing-hoodies-sweatshirts&dwvar481742_colorname=College%20Green&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Stretch Fleece Shirt Jacket,"€ 149,00",https://www.ralphlauren.eu/pt/en/stretch-fleece-shirt-jacket-509334.html?dwvar509334_colorname=Cruise%20Navy&cgid=men-clothing-hoodies-sweatshirts&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Polo Sport Fleece Sweatshirt,"€ 149,00",https://www.ralphlauren.eu/pt/en/polo-sport-fleece-sweatshirt-493269.html?cgid=men-clothing-hoodies-sweatshirts&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts&dwvar493269_colorname=RL%202000%20Red
Fleece Crewneck Sweatshirt,"€ 149,00",https://www.ralphlauren.eu/pt/en/fleece-crewneck-sweatshirt-490869.html?cgid=men-clothing-hoodies-sweatshirts&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts&dwvar490869_colorname=New%20Forest
Fleece Mockneck Pullover,"€ 229,00",https://www.ralphlauren.eu/pt/en/fleece-mockneck-pullover-489291.html?cgid=men-clothing-hoodies-sweatshirts&dwvar489291_colorname=Cruise%20Navy%2FExpedition%20Ol&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Graphic Track Jacket,"€ 299,00",https://www.ralphlauren.eu/pt/en/graphic-track-jacket-481523.html?cgid=men-clothing-hoodies-sweatshirts&dwvar481523_colorname=Rl%20Olympic%20Crest&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Hybrid Down Jacket,"€ 249,00",https://www.ralphlauren.eu/pt/en/hybrid-down-jacket-509275.html?cgid=men-clothing-hoodies-sweatshirts&dwvar509275_colorname=Andover%20Heather&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Skier Cotton Interlock Hoodie,"€ 269,00",https://www.ralphlauren.eu/pt/en/skier-cotton-interlock-hoodie-489440.html?cgid=men-clothing-hoodies-sweatshirts&dwvar489440_colorname=Royal%20Ski%20Multi&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Fleece Graphic Sweatshirt,"€ 169,00",https://www.ralphlauren.eu/pt/en/fleece-graphic-sweatshirt-490865.html?cgid=men-clothing-hoodies-sweatshirts&dwvar490865_colorname=Loft%20Heather&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Polo Shield Fleece Jacket,"€ 229,00",https://www.ralphlauren.eu/pt/en/polo-shield-fleece-jacket-509354.html?cgid=men-clothing-hoodies-sweatshirts&dwvar509354_colorname=Newport%20Navy&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Lunar New Year Track Jacket,"€ 169,00",https://www.ralphlauren.eu/pt/en/lunar-new-year-track-jacket-509315.html?cgid=men-clothing-hoodies-sweatshirts&dwvar509315_colorname=Polo%20Black&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Crest Fleece Sweatshirt,"€ 199,00",https://www.ralphlauren.eu/pt/en/crest-fleece-sweatshirt-489872.html?cgid=men-clothing-hoodies-sweatshirts&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts&dwvar489872_colorname=Cruise%20Navy%20Multi
